Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7p6AHM1N2Od2B43PDr9H5S,"Recognise & Test","Recognise & Test","Seephar",2023-09-29,198425,38,false,12141338138,2026-06-05T17:39:34Z,"","Seephar",0.942,0.419,8,-10.9,1,0.095,0.28,0.519,0.166,0.445,126.963,4
spotify:track:59dtBlIW3MTm0aenV1RKmw,"Le ciel tout là haut","Le ciel tout là haut","Kodaman",2021-04-25,300000,34,false,12141338138,2026-06-05T17:39:34Z,"tekno,acid techno,hard techno","Kodaman",0.709,0.856,5,-3.349,0,0.0457,0.05,0.832,0.0784,0.287,161.982,4
spotify:track:4lo5n8N5IXRxpp8TrKjU5a,"Pour Mes Gens","Mes Larmes","Evil Grimace",2020-12-06,239503,41,false,12141338138,2026-06-05T17:39:34Z,"gabber,tekno,hard techno,techno hardcore","Evil Grimace Records",0.691,0.772,4,-6.899,0,0.17,0.225,0.102,0.099,0.0909,143.969,4
spotify:track:1OvCNlPmmsUGptFtHtHVTI,"Acmé","Mydriaze","Contrefaçon;LAAKE",2019-09-20,221029,30,false,12141338138,2026-06-05T17:39:34Z,"tekno,acid techno","Panenka Music",0.481,0.911,4,-6.002,0,0.0405,0.0202,0.769,0.155,0.0631,139.982,4
spotify:track:0SkxeNhaFRZuKal1HSHEZq,"Miserere Allegri","Miserere Allegri","Poumtica;Dreikanter",2023-03-05,444800,42,false,12141338138,2026-06-05T17:39:34Z,"hard techno,tekno,techno","Poumtica",0.495,0.984,8,-6.572,1,0.091,0.000956,0.884,0.0208,0.13,74.989,4
spotify:track:23hLvnvxj7rAwzO04L35TW,"N.E.M. - GRAViiTY Remix","N.E.M. (GRAViiTY Remix)","GRAViiTY;Las Aves",2024-05-10,207000,46,false,12141338138,2026-06-05T17:39:34Z,"trance psicodélico,tekno,indie pop francés","Wagram Music / Cinq 7",0.733,0.889,10,-5.134,0,0.129,0.00851,0.416,0.275,0.355,159.991,4
spotify:track:0HwWDAJ9wSFyUjci6KAqCs,"Radiant","Radiant","Montee",2023-05-19,208222,40,false,12141338138,2026-06-05T17:39:34Z,"stutter house","recordJet",0.694,0.708,1,-8.869,1,0.0651,0.00699,0.827,0.108,0.0364,170.011,4
spotify:track:6ufr4aeejSHOD6jNzVh23j,"Pluie","Pluie","Kodaman",2023-11-08,268235,27,false,12141338138,2026-06-05T17:39:34Z,"tekno,acid techno,hard techno","Kodaman",0.695,0.92,7,-1.929,0,0.0613,0.0109,0.83,0.299,0.186,169.963,4
spotify:track:64Sgk4MMrw86WArvCvhYQW,"Tard La Nuit","Après La Pluie","Evil Grimace;Sto",2026-02-27,173397,44,true,12141338138,2026-06-05T17:39:34Z,"gabber,tekno,hard techno,techno hardcore,rap francés,hip house","Evil Grimace Records",0.624,0.87,6,-3.819,0,0.0678,0.00219,0.409,0.261,0.235,89.998,4
spotify:track:3z5bC2Mm1bBUTFvExAoc4k,"Plus Tard","Demain Sera Meilleur (Original Motion Picture Soundtrack)","RAUMM",2022-03-18,210206,40,false,12141338138,2026-06-05T17:39:34Z,"techno","Matière",0.454,0.833,5,-11.648,0,0.0353,0.0628,0.766,0.223,0.0376,145.017,4
spotify:track:10otnTMXn3fh9cZwoP33UL,"Influenceur","Vierge","ascendant vierge",2020-10-09,211559,52,false,12141338138,2026-06-05T17:39:34Z,"frenchcore,tekno,techno","Live From Earth",0.655,0.795,4,-7.037,0,0.137,0.0178,0.0451,0.0756,0.259,169.989,4
spotify:track:5BJZYYGvCSn0TkkEJmdHgE,"Dance With Us","Dance With Us","GRAViiTY",2023-09-29,218533,31,false,12141338138,2026-06-05T17:39:34Z,"trance psicodélico,tekno","GRAViiTY",0.595,0.877,6,-3.772,0,0.0444,0.000415,0.823,0.123,0.33,164.983,3
spotify:track:1Wcai1GIYM6Yfl3sTP2t52,"Collision","Mécanique Organique","Mathu",2023-06-02,245764,31,false,12141338138,2026-06-05T17:39:34Z,"tekno,trance psicodélico,acid techno","konfety production",0.588,0.85,2,-7.395,1,0.0425,0.0499,0.832,0.571,0.107,159.986,4
spotify:track:6oZub1HODkC3sRK7CAFpRc,"Réalité","Human Error","Grand Soleil",2021-04-09,251759,43,false,12141338138,2026-06-05T17:39:34Z,"","Nowadays Records",0.563,0.8,1,-6.871,1,0.0546,0.065,0.798,0.117,0.423,117.567,4
spotify:track:1ZhkSVphaB9nPt7JjcPR7Z,"Scepter of History","Genealogia","Acid Division",2022-11-22,408671,26,false,12141338138,2026-06-05T17:39:34Z,"tekno,acid techno","Acid Division",0.443,0.672,9,-12.267,0,0.0289,0.428,0.87,0.0691,0.151,142.977,4
